,Insult,Date,Comment,Comment_stemmed,Comment constructed,comment length,sentences length,max length
0,1,20120618192155Z, You fuck your dad .  ,you fuck your dad .,['You fuck your dad'],1,[4],4
1,0,20120528192215Z, i really do not understand your point .  It seems that you are mixing apples and oranges .  ,i realli do not understand your point . it seem that you are mix appl and orang .,"['i really do not understand your point', 'It seems that you are mixing apples and oranges']",2,"[7, 9]",9
2,0,," A majority of Canadians can and has been wrong before now and will be again .  Unless you are supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them is the breaks and we can always regard you as collateral damage like in wartime and sorry ,  but the cheques in the mail .  ","a major of canadian can and has been wrong befor now and will be again . unless you are support of the idea that noth is full proof or perfect so you take your chanc and if we should inadvert kill your son or daughter then them is the break and we can alway regard you as collater damag like in wartim and sorri , but the chequ in the mail .","['A majority of Canadians can and has been wrong before now and will be again', 'Unless you are supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them is the breaks and we can always regard you as collateral damage like in wartime and sorry but the cheques in the mail']",2,"[15, 54]",54
3,0,," listen if you dont wanna get married to a man or a women DONT DO IT .  what would it bother you if gay people got married stay in your lane do you let them do them .  And your god is so nice but quick to judg if your not like him ,  thought you wasnt suppose to judge people .  ","listen if you dont wanna get marri to a man or a women dont do it . what would it bother you if gay peopl got marri stay in your lane do you let them do them . and your god is so nice but quick to judg if your not like him , thought you wasnt suppos to judg peopl .","['listen if you dont wanna get married to a man or a women DONT DO IT', 'what would it bother you if gay people got married stay in your lane do you let them do them', 'And your god is so nice but quick to judg if your not like him thought you wasnt suppose to judge people']",3,"[16, 20, 22]",22
5,0,20120620171226Z," _hashtag_ OK ,  but I would hope they would sign him to a one year contract to start with .  Give him the chance to be reliable and productive ,  but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits .  ","_hashtag_ ok , but i would hope they would sign him to a one year contract to start with . give him the chanc to be reliabl and product , but give themselv the out if all his time off has hurt his play skill or if he fall back into old habit .","['_hashtag_ OK but I would hope they would sign him to a one year contract to start with', 'Give him the chance to be reliable and productive but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits']",2,"[18, 32]",32
6,0,20120503012628Z, Yeah and where are you now ?  ,yeah and where are you now ?,['Yeah and where are you now'],1,[6],6
7,1,, shut the fuck up .  you and the rest of your faggot friends should be burned at the stake ,shut the fuck up . you and the rest of your faggot friend should be burn at the stake,"['shut the fuck up', 'you and the rest of your faggot friends should be burned at the stake']",2,"[4, 14]",14
8,1,20120502173553Z, Either you are fake or extremely stupid..maybe both ..  ,either you are fake or extrem stupid..mayb both ..,"['Either you are fake or extremely stupid', 'maybe both']",2,"[7, 2]",7
9,1,20120620160512Z, That you are an idiot who understands neither taxation nor women is health .  ,that you are an idiot who understand neither taxat nor women is health .,['That you are an idiot who understands neither taxation nor women is health'],1,[13],13
10,0,20120620015140Z," _hashtag_ dont wish him injury but it happened on its OWN and i DOUBT he is injured ,  he looked embarrassed to me ","_hashtag_ dont wish him injuri but it happen on it own and i doubt he is injur , he look embarrass to me",['_hashtag_ dont wish him injury but it happened on its OWN and i DOUBT he is injured he looked embarrassed to me'],1,[22],22
11,0,20120530044519Z," Be careful,Jimbo.OG has a fork with your name on it .  ","be careful,jimbo.og has a fork with your name on it .","['Be careful Jimbo', 'OG has a fork with your name on it']",2,"[3, 9]",9
12,0,, _hashtag_ Or they just do not pay attention ,_hashtag_ or they just do not pay attent,['_hashtag_ Or they just do not pay attention'],1,[8],8
13,0,, Hmm .  Perhaps some who are too pig faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can ??  IDK .  Stream of consciousnees thought after looking at her .  ,hmm . perhap some who are too pig face to get laid and therefor have zero chanc of get pregnant from such activ hold someth against women who can ?? idk . stream of consciousne thought after look at her .,"['Hmm', 'Perhaps some who are too pig faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can', 'IDK', 'Stream of consciousnees thought after looking at her']",4,"[1, 27, 1, 8]",27
14,0,," _hashtag_ Huh ?  Her income was $21,912 .  Her spending was $5,470 .  My math puts that at 24.9% .  ","_hashtag_ huh ? her incom was $21,912 . her spend was $5,470 . my math put that at 24.9% .","['_hashtag_ Huh', 'Her income was 21 912', 'Her spending was 5 470', 'My math puts that at 24', '9%']",5,"[2, 5, 5, 6, 1]",6
15,1,20120611090207Z, FOR SOME REASON YOU SOUND RETARDED .  LOL .  DAMN .  WHERE YOU BEEN NEGRO ,for some reason you sound retard . lol . damn . where you been negro,"['FOR SOME REASON YOU SOUND RETARDED', 'LOL', 'DAMN', 'WHERE YOU BEEN NEGRO']",4,"[6, 1, 1, 4]",6
16,1,20120320162532Z, You with the racist screen name you are a PieceOfShit ..  ,you with the racist screen name you are a pieceofshit ..,['You with the racist screen name you are a PieceOfShit'],1,[10],10
17,0,," Oh !  & cheating as well..1966 cup was a cheat fest ,  & you still dare to post that comment..shame on you lol ","oh ! & cheat as well..1966 cup was a cheat fest , & you still dare to post that comment..sham on you lol","['Oh', '& cheating as well', '1966 cup was a cheat fest & you still dare to post that comment', 'shame on you lol']",4,"[1, 4, 14, 4]",14
18,1,20120320075347Z, your such a dickhead ..  ,your such a dickhead ..,['your such a dickhead'],1,[4],4
19,1,20120320203947Z, Your a retard go post your head up your _CR_ ,your a retard go post your head up your _cr_,['Your a retard go post your head up your _CR_'],1,[10],10
20,0,20120612051612Z, _hashtag_ Makes you want to say Mike MacWHOgal ?  ,_hashtag_ make you want to say mike macwhog ?,['_hashtag_ Makes you want to say Mike MacWHOgal'],1,[8],8
21,0,20120611234235Z, _url_ ,_url_,['_url_'],1,[1],1
22,0,20120502215304Z, And you know they have burned holes in all the carpeting .  ,and you know they have burn hole in all the carpet .,['And you know they have burned holes in all the carpeting'],1,[11],11
23,0,20120503031721Z, you are a land creature .  You would drown ..  ,you are a land creatur . you would drown ..,"['you are a land creature', 'You would drown']",2,"[5, 3]",5
